n,m,l,S,mse_full,nonlinear_mse_decrease,pct_nonlinear_mse_decrease
64,2,4,0.85,0.02891782470703125,0.013300999755859372,0.3150490314468762
64,2,4,0.9,0.018658894958496094,0.010247857360839843,0.3545143102770828
64,2,4,0.95,0.007915029907226562,0.00696256805419922,0.46799006615527394
64,4,1,0.85,0.03835796875,0.0,0.0
64,4,1,0.9,0.02587281494140625,0.0,0.0
64,4,1,0.95,0.012200282897949218,0.0,0.0
64,4,2,0.85,0.03062430419921875,0.007733664550781248,0.20161819832498948
64,4,2,0.9,0.01984889892578125,0.0060239160156249985,0.23282800998914363
64,4,2,0.95,0.00726354995727539,0.004936732940673828,0.4046408580823694
64,4,3,0.85,0.02378068359375,0.014577285156249998,0.3800327710588168
64,4,3,0.9,0.014277064514160156,0.011595750427246093,0.4481827916099119
64,4,3,0.95,0.005175459594726563,0.007024823303222656,0.5757918371223572
64,4,4,0.85,0.020431683044433595,0.017926285705566404,0.4673418924344477
64,4,4,0.9,0.011119774780273437,0.014753040161132812,0.5702139560207804
64,4,4,0.95,0.004422687759399414,0.0077775951385498044,0.6374930158264743
64,8,1,0.85,0.03214943420410156,0.0,0.0
64,8,1,0.9,0.021178922119140624,0.0,0.0
64,8,1,0.95,0.008704189147949218,0.0,0.0
64,8,2,0.85,0.0211481005859375,0.01100133361816406,0.3421936930000632
64,8,2,0.9,0.011512958068847657,0.009665964050292967,0.45639546696086447
64,8,2,0.95,0.00414062385559082,0.004563565292358398,0.5242952806734
64,8,3,0.85,0.01321764892578125,0.01893178527832031,0.5888683812639238
64,8,3,0.9,0.007707423400878906,0.013471498718261718,0.6360804691796256
64,8,3,0.95,0.002511307373046875,0.006192881774902343,0.7114829043393938
64,8,4,0.85,0.010280162048339843,0.021869272155761718,0.6802381658390642
64,8,4,0.9,0.006347129211425781,0.014831792907714842,0.7003091481369814
64,8,4,0.95,0.0018470127868652343,0.0068571763610839834,0.787801855466295
64,16,1,0.85,0.020659993286132813,0.0,0.0
64,16,1,0.9,0.011439940795898438,0.0,0.0
64,16,1,0.95,0.004415488739013672,0.0,0.0
64,16,2,0.85,0.010349307250976563,0.01031068603515625,0.49906531393100123
64,16,2,0.9,0.0054163406372070315,0.006023600158691407,0.526541200357527
64,16,2,0.95,0.0007980556297302247,0.003617433109283447,0.8192599558280169
64,16,3,0.85,0.00655003173828125,0.014109961547851563,0.6829606066388368
64,16,3,0.9,0.003016596145629883,0.008423344650268555,0.7363101610882966
64,16,3,0.95,0.00044760541915893554,0.003967883319854737,0.8986283409118327
64,16,4,0.85,0.004502581939697266,0.016157411346435547,0.782062758814184
