n,m,l,S,nonlinear_gain,linearity_score,mse_full,mse_linear,gain_mean,gain_std,steps_used,steps_mean,converged,n_converged,n_seeds,n_runs
128,2,3,0.85,0.9199880361557007,0.5271369814872742,0.03803439065814018,0.47535860538482666,0.40129374852404,0.25546848238065273,203646,124096.78125,True,32,32,2
128,2,3,0.9,0.2974942624568939,0.3485315442085266,0.02513251267373562,0.03577553108334541,0.2749017416499555,0.030508844941632522,203646,124096.78125,True,32,32,2
128,2,3,0.95,0.42638570070266724,0.4861947298049927,0.011470112018287182,0.019996216520667076,0.40778475607696335,0.045693426891603675,203646,136657.18421052632,True,38,38,2
128,2,4,0.85,0.2859971523284912,0.5952548980712891,0.0368148498237133,0.05156121402978897,0.2535276025533676,0.04665557753886262,203646,130915.28571428571,True,35,35,2
128,2,4,0.9,0.3189931809902191,0.38004249334335327,0.02448742836713791,0.035957690328359604,0.29138860191617694,0.027879084124868784,203646,130915.28571428571,True,35,35,2
128,2,4,0.95,0.46635669469833374,0.5340315103530884,0.010929507203400135,0.0204809308052063,0.4046241364308766,0.04605865396104858,203646,143037.07142857142,True,42,42,2
128,4,1,0.85,0.0,1.0,0.04144982993602753,0.04144982993602753,0.0,0.0,8000,8000.0,True,12,12,1
128,4,1,0.9,0.0,1.0,0.028639068827033043,0.028639068827033043,0.0,0.0,8000,8000.0,True,12,12,1
128,4,1,0.95,0.0,1.0,0.014295433647930622,0.014295433647930622,0.0,0.0,8000,8000.0,True,12,12,1
128,4,2,0.85,0.9980981349945068,0.5759757161140442,0.03685568645596504,19.378633499145508,0.8518161085598609,0.24078979483373544,203646,128776.14705882352,True,34,34,2
128,4,2,0.9,0.9886044263839722,0.5607355833053589,0.02452850714325905,2.152454137802124,0.891408730079146,0.22521677788886424,203646,128776.14705882352,True,34,34,2
128,4,2,0.95,0.9928392767906189,0.5555509924888611,0.010834606364369392,1.5130608081817627,0.6566439972896325,0.2572223334745126,203646,136657.18421052632,True,38,38,2
128,4,3,0.85,0.3977690637111664,0.5974667072296143,0.03283092752099037,0.05451551824808121,0.5630966793549689,0.25212660311599044,203646,136657.18421052632,True,38,38,2
128,4,3,0.9,0.9442037343978882,0.41351503133773804,0.02229943498969078,0.3996584415435791,0.8253527118971473,0.2116659413334657,203646,136657.18421052632,True,38,38,2
128,4,3,0.95,0.7035122513771057,0.5809433460235596,0.008709431625902653,0.029375366866588593,0.6755113204320272,0.11715135221130554,203646,147077.66666666666,True,45,45,2
128,4,4,0.85,0.4518176317214966,0.5288227796554565,0.03086627833545208,0.05630659684538841,0.46475263365677427,0.1409091860526176,203646,143037.07142857142,True,42,42,2
128,4,4,0.9,0.5162436366081238,0.49518656730651855,0.019081592559814453,0.03944464400410652,0.5648759376435053,0.1543648791717873,203646,143037.07142857142,True,42,42,2
128,4,4,0.95,0.6738187074661255,0.5642046332359314,0.008047651499509811,0.02467234432697296,0.6114050707396339,0.09911019240293809,203646,173698.0588235294,True,85,85,3
128,8,1,0.85,0.0,1.0,0.03831515088677406,0.03831515088677406,0.0,0.0,8000,8000.0,True,12,12,1
128,8,1,0.9,0.0,1.0,0.02612835168838501,0.02612835168838501,0.0,0.0,8000,8000.0,True,12,12,1
128,8,1,0.95,0.0,1.0,0.012279835529625416,0.012279835529625416,0.0,0.0,8000,8000.0,True,12,12,1
128,8,2,0.85,0.9928687214851379,0.689327597618103,0.03140721097588539,4.404151439666748,0.9172990725320929,0.1461659606210553,203646,128776.14705882352,True,34,34,2
128,8,2,0.9,0.9842239022254944,0.7501108050346375,0.01927000842988491,1.2214734554290771,0.9624740277466021,0.02722242359311705,203646,136657.18421052632,True,38,38,2
128,8,2,0.95,0.9961321353912354,0.6847505569458008,0.008563450537621975,2.2140052318573,0.9753009251185826,0.05627859838459738,203646,143037.07142857142,True,42,42,2
128,8,3,0.85,0.992853045463562,0.5285435914993286,0.026255697011947632,3.6736819744110107,0.8302595780084008,0.1808784903388591,203646,136657.18421052632,True,38,38,2
128,8,3,0.9,0.9490728378295898,0.595028281211853,0.01602010615170002,0.3145692050457001,0.8704096900092231,0.1007696150581871,203646,147077.66666666666,True,45,45,2
128,8,3,0.95,0.9896680116653442,0.6976233720779419,0.005644384305924177,0.5463011860847473,0.9033013517206365,0.11319169355711944,203646,157362.81818181818,True,55,55,2
128,8,4,0.85,0.6755388975143433,0.6004980802536011,0.021065838634967804,0.06492564082145691,0.733273269874709,0.18226619077618386,203646,143037.07142857142,True,42,42,2
